product_module_code,product_module_desc,brand_code_uc,brand_descr,revenue_RMS,main
1484,SOFT DRINKS - CARBONATED,531429,COCA-COLA R,5316752098,1
1484,SOFT DRINKS - CARBONATED,616141,PEPSI R,3410101394,0
1484,SOFT DRINKS - CARBONATED,602144,MTN DEW R,2269085309,0
1484,SOFT DRINKS - CARBONATED,536857,CTL BR R,1872694199,0
8412,ANTACIDS,621727,PRILOSEC,727611823.5,1
8412,ANTACIDS,536746,CTL BR,1292610973,0
8412,ANTACIDS,621622,PREVACID,278930557.4,0
8412,ANTACIDS,616173,PEPTO-BISMOL,264917153.2,0
1553,SOFT DRINKS - LOW CALORIE,531424,COCA-COLA DT,3348556713,0
1553,SOFT DRINKS - LOW CALORIE,616127,PEPSI DT,1841112293,0
1553,SOFT DRINKS - LOW CALORIE,536810,CTL BR DT,1111867879,0
1553,SOFT DRINKS - LOW CALORIE,531433,COCA-COLA ZERO DT,990032473.5,1
